school_id_no,latitude,longitude
127947,8.4920024,124.7424989
304104,8.489287,124.737823
127996,8.467222222,124.5719444
127948,8.460833333,124.7816667
315401,8.459722222,124.785
127990,8.4436736,124.6338222
127959,8.513333333,124.6383333
304106,8.512079,124.633455
127960,8.5080342,124.6483684
127961,8.501111111,124.6308333
127949,8.503646,124.751966
127997,8.503277,124.616676
127998,8.5029076,124.6165928
304108,8.505201,124.606936
304111,8.473888889,124.6491667
127964,8.4728278,124.658842
304109,8.466666667,124.5847222
304112,8.469444444,124.6316667
127940,8.4800538,124.6453144
127962,8.4912435,124.6457896
127955,8.4905413,124.6537877
127941,8.470277778,124.7027778
127942,8.4827663,124.6636462
127943,8.458888889,124.7216667
127944,8.476314,124.682585
304114,8.470555556,124.6794444
304115,8.4675,124.7036111
127965,8.4354286,124.6659546
128003,8.495277778,124.6022222
304117,8.494444444,124.6022222
127963,8.4970961,124.6419209
127991,8.438179,124.620154
304118,8.480277778,124.6633333
127977,8.398705,124.597478
304119,8.401779,124.597305
127956,8.5029027,124.6622396
304120,8.503888889,124.6613889
127992,8.468333333,124.6311111
127966,8.4634437,124.6439331
315410,8.463752,124.643753
127979,8.3437302,124.6002968
127957,8.499551,124.656817
128004,8.463055556,124.5830556
127999,8.460277778,124.6066667
304110,8.461111111,124.6063889
127952,8.4990811,124.7485381
315402,8.4992137,124.7486293
304124,8.499108,124.656672
127967,8.472562,124.6476479
127958,8.490277778,124.6622222
127953,8.508333333,124.7722222
127954,8.482315,124.732075
304105,8.479166667,124.7366667
127968,8.425269,124.63798
127994,8.473055556,124.625
127995,8.4735986,124.6377002
304091,8.482777778,124.6469444
