school_name,latitude,longitude
School_1,8.4920024,124.7424989
School_2,8.489287,124.737823
School_3,8.467222222,124.5719444
School_4,8.460833333,124.7816667
School_5,8.459722222,124.785
School_6,8.4436736,124.6338222
School_7,8.513333333,124.6383333
School_8,8.512079,124.633455
School_9,8.5080342,124.6483684
School_10,8.501111111,124.6308333
School_11,8.503646,124.751966
School_12,8.503277,124.616676
School_13,8.5029076,124.6165928
School_14,8.505201,124.606936
School_15,8.473888889,124.6491667
School_16,8.4728278,124.658842
School_17,8.466666667,124.5847222
School_18,8.469444444,124.6316667
School_19,8.4800538,124.6453144
School_20,8.4912435,124.6457896
School_21,8.4905413,124.6537877
School_22,8.470277778,124.7027778
School_23,8.4827663,124.6636462
School_24,8.458888889,124.7216667
School_25,8.476314,124.682585
School_26,8.470555556,124.6794444
School_27,8.4675,124.7036111
School_28,8.4354286,124.6659546
School_29,8.495277778,124.6022222
School_30,8.494444444,124.6022222
School_31,8.4970961,124.6419209
School_32,8.438179,124.620154
School_33,8.480277778,124.6633333
School_34,8.398705,124.597478
School_35,8.401779,124.597305
School_36,8.5029027,124.6622396
School_37,8.503888889,124.6613889
School_38,8.468333333,124.6311111
School_39,8.4634437,124.6439331
School_40,8.463752,124.643753
School_41,8.3437302,124.6002968
School_42,8.499551,124.656817
School_43,8.463055556,124.5830556
School_44,8.460277778,124.6066667
School_45,8.461111111,124.6063889
School_46,8.4990811,124.7485381
School_47,8.4992137,124.7486293
School_48,8.499108,124.656672
School_49,8.472562,124.6476479
School_50,8.490277778,124.6622222
School_51,8.508333333,124.7722222
School_52,8.482315,124.732075
School_53,8.479166667,124.7366667
School_54,8.425269,124.63798
School_55,8.473055556,124.625
School_56,8.4735986,124.6377002
School_57,8.482777778,124.6469444
